TimeStamp,AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,F7_THETA,F7_ALPHA,F7_LOW_BETA,F7_HIGH_BETA,F7_GAMMA,F3_THETA,F3_ALPHA,F3_LOW_BETA,F3_HIGH_BETA,F3_GAMMA,FC5_THETA,FC5_ALPHA,FC5_LOW_BETA,FC5_HIGH_BETA,FC5_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,P7_THETA,P7_ALPHA,P7_LOW_BETA,P7_HIGH_BETA,P7_GAMMA,O1_THETA,O1_ALPHA,O1_LOW_BETA,O1_HIGH_BETA,O1_GAMMA,O2_THETA,O2_ALPHA,O2_LOW_BETA,O2_HIGH_BETA,O2_GAMMA,P8_THETA,P8_ALPHA,P8_LOW_BETA,P8_HIGH_BETA,P8_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,FC6_THETA,FC6_ALPHA,FC6_LOW_BETA,FC6_HIGH_BETA,FC6_GAMMA,F4_THETA,F4_ALPHA,F4_LOW_BETA,F4_HIGH_BETA,F4_GAMMA,F8_THETA,F8_ALPHA,F8_LOW_BETA,F8_HIGH_BETA,F8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,CQ_AF3,CQ_F7,CQ_F3,CQ_FC5,CQ_T7,CQ_P7,CQ_O1,CQ_O2,CQ_P8,CQ_T8,CQ_FC6,CQ_F4,CQ_F8,CQ_AF4
1554499922.490414,2506.909686,668.271037,99.549371,126.079201,27.360376,1395.532362,365.586060,50.523351,65.030641,13.849471,128.916979,32.921216,4.801798,6.035079,1.266318,4775.274845,1258.642499,181.104109,227.863837,48.950792,7635.567396,1897.110949,253.582262,317.472017,66.336532,1329.019217,413.874668,72.360952,100.479437,24.497503,515.609218,156.628988,27.671309,37.820937,8.708020,4808.228249,1274.341794,180.430708,231.762509,51.227143,4900.332185,1269.623025,176.407817,223.947535,46.721768,50.526449,17.482572,3.066080,4.112268,1.031523,7529.809254,1945.304060,277.477461,331.622832,69.892436,1870.600811,480.714480,71.651187,83.789646,16.842784,5988.835342,1500.362339,206.732666,241.730313,50.786161,1492.409456,425.951956,73.065754,91.944206,20.711229,4,3,1,4,4,4,4,4,4,1,4,4,4,4
1554499922.616704,1552.159258,484.930878,77.277406,87.194341,18.290272,865.626240,264.946556,39.683736,44.862867,9.255449,80.057211,24.232261,3.829264,4.171521,0.846976,2965.044382,913.417567,143.378497,157.522176,32.439713,4748.600170,1375.704875,203.265321,219.545126,44.132727,821.509282,300.328988,56.946258,69.236701,16.279070,319.188308,113.970360,21.614891,26.016413,5.792708,2990.873339,928.064812,142.552574,159.473465,34.264031,3047.887303,922.166252,139.552241,153.854649,30.963067,31.712414,12.693284,2.374562,2.864071,0.675994,4688.953179,1419.418736,216.938941,228.917407,46.428722,1166.363322,350.607871,55.041438,57.544675,11.145964,3723.510036,1093.077965,163.312469,167.120638,33.678031,924.573347,310.982796,55.949354,63.192862,13.633031,4,3,1,4,4,4,4,4,4,1,4,4,4,4
1554499922.743294,796.293778,323.886017,61.110860,53.962297,10.981329,445.758119,176.772225,32.069745,27.638093,5.547865,41.236301,16.554536,3.173177,2.559097,0.509925,1528.738426,609.938777,116.954171,97.412135,19.146362,2452.359021,917.928016,168.652960,135.982507,26.226911,422.803977,200.772180,45.822224,42.499693,9.666125,164.092300,76.487521,17.221207,15.904001,3.444803,1543.768102,625.437337,116.697182,97.825082,20.489289,1573.952565,618.403719,114.315581,94.022072,18.334660,16.695022,8.493372,1.859745,1.782710,0.388885,2427.424947,958.259103,173.980273,141.218434,27.568008,604.147917,235.831631,42.866875,35.183820,6.579240,1919.642003,735.012384,132.530574,103.211079,19.916633,475.928913,209.672927,43.153779,38.758222,8.023272,4,3,1,4,4,4,3,4,4,1,4,4,4,4
1554499922.870986,372.105651,214.276053,52.631297,32.609950,6.494539,209.239657,116.920062,28.273064,16.602076,3.268168,19.291351,11.268530,2.878229,1.505889,0.304102,718.807316,402.944767,103.993486,58.833159,10.988400,1153.201660,606.565305,152.119014,82.591008,15.240367,199.870603,133.015241,40.237547,25.344214,5.614101,76.887615,50.901015,14.979405,9.406097,2.003225,722.848782,420.362645,104.870462,58.418547,11.929893,738.782390,412.564144,102.615801,55.739225,10.658942,8.073530,5.626663,1.585159,1.075086,0.212548,1146.749687,644.310877,152.495331,85.146820,16.043665,284.533231,157.199654,36.459300,20.926180,3.805217,898.078705,490.640536,117.115735,62.109654,11.510881,223.681684,140.170430,36.242847,23.232723,4.677806,4,3,1,4,4,4,3,4,4,1,4,4,4,4
1554499922.998678,229.414251,152.524579,48.620493,22.567830,4.437611,128.567850,83.282700,26.479025,11.466636,2.220942,11.702953,8.200072,2.756098,0.998237,0.210619,441.750466,285.833664,98.094225,40.761293,7.258024,704.436208,431.286502,144.339264,57.842662,10.229141,124.087771,94.813136,37.892466,17.354685,3.762784,47.009229,36.379704,14.025737,6.374279,1.342345,437.868230,304.639751,100.285776,40.136284,7.947018,449.159238,296.721773,97.827930,37.995174,7.226163,4.944260,4.003058,1.466511,0.732398,0.134011,705.984477,465.916653,142.911293,59.181985,10.822696,173.851750,112.363255,33.570852,14.373009,2.567822,546.832290,351.768318,109.900325,42.818628,7.736827,137.749610,100.340488,33.093048,16.126680,3.242610,4,3,1,4,4,4,3,4,4,1,4,4,4,4
1554499923.126370,212.850565,116.043454,44.303367,18.732013,3.619183,117.986513,63.382678,24.230288,9.575297,1.805363,10.589644,6.277519,2.560374,0.803852,0.174000,404.317518,216.456187,90.434640,33.934499,5.812753,639.822241,328.040312,133.054502,48.616929,8.281356,112.788370,72.193649,35.238126,14.416366,3.034967,42.679488,27.687352,12.999543,5.260980,1.084269,396.056914,234.685764,93.681432,33.364093,6.407782,406.481233,227.444720,90.917359,31.520925,5.946407,4.332514,3.044243,1.355537,0.597584,0.108475,646.128777,357.581175,131.548022,49.611929,8.810251,158.946200,85.490099,30.695561,12.027651,2.106563,500.287997,268.313230,100.801247,35.525146,6.344958,126.343990,76.207024,30.165146,13.569932,2.747540,4,3,1,4,4,4,3,4,4,1,4,4,4,4
1554499923.254062,192.965848,84.103920,36.884766,15.976527,3.062379,105.761647,45.875368,20.201465,8.249551,1.527994,9.420470,4.539294,2.160375,0.680253,0.149016,362.002103,156.199725,76.143931,29.040051,4.898335,569.776442,237.998355,111.824635,41.760533,6.991441,99.453071,52.469393,30.066270,12.360085,2.547479,37.995617,20.093183,11.044137,4.494902,0.917763,353.145593,171.572355,79.884307,28.505677,5.524102,361.732376,165.559843,76.920018,26.992748,5.117736,3.778018,2.218982,1.152401,0.507989,0.097542,581.377615,260.103760,110.566923,42.636716,7.475323,143.889560,61.910734,25.693325,10.379184,1.802693,449.345924,194.324589,84.240854,30.314299,5.483375,113.543729,55.003628,25.188964,11.707068,2.410198,4,3,1,4,4,4,3,4,4,1,4,4,4,4
1554499923.380655,156.157547,53.186309,27.144927,12.429742,2.453426,84.763329,28.910676,14.926037,6.493499,1.229017,7.471945,2.858791,1.611933,0.530661,0.121544,288.900044,98.240139,56.966782,22.666883,3.940215,451.951773,150.543410,83.359750,32.535955,5.579670,78.156833,33.276588,22.812929,9.655593,2.017717,30.003517,12.745204,8.307517,3.497650,0.740702,279.137354,109.189502,60.401492,22.069709,4.658274,286.290762,104.845573,57.586788,20.985629,4.190336,2.937273,1.411203,0.863977,0.401684,0.087647,464.639297,164.702512,82.216015,33.236349,6.005616,115.836056,39.127339,19.006492,8.151434,1.462127,359.982497,122.450451,62.153486,23.548517,4.548358,91.085513,34.639267,18.543068,9.153210,1.986351,4,3,1,4,4,4,4,4,4,1,4,4,4,4
1554499923.506947,114.573551,28.881243,17.343466,8.557365,1.810195,61.686542,15.599098,9.616868,4.538448,0.916727,5.357879,1.547476,1.044398,0.368909,0.092481,209.332901,52.901100,37.355985,15.660368,2.935435,326.121371,81.418822,54.180308,22.287629,4.083108,55.379152,17.987913,15.210027,6.657044,1.457581,21.298192,6.929273,5.446179,2.399134,0.551868,199.089703,59.256743,39.809690,14.999007,3.721060,205.443506,56.606297,37.504083,14.329378,3.179862,2.072463,0.758762,0.561087,0.288274,0.077164,335.632805,89.045578,53.103466,22.776865,4.451028,84.184773,21.210954,12.202213,5.665215,1.100765,260.930605,65.902376,39.638287,16.170387,3.542990,65.858468,18.675416,11.805128,6.296511,1.504674,4,3,1,4,4,4,4,4,4,1,4,4,4,4
1554499923.632739,73.882094,13.729631,9.516176,5.171571,1.218028,39.629395,7.324487,5.367271,2.805402,0.634300,3.381249,0.736908,0.581201,0.227088,0.065917,133.145441,24.694005,21.426566,9.509547,2.003316,206.723571,37.760328,30.421986,13.278962,2.706913,34.298346,8.298800,8.904418,4.004905,0.942640,13.153039,3.262506,3.090100,1.436075,0.374871,123.756599,27.522319,22.714450,8.890477,2.777869,129.259435,26.161826,21.066075,8.489717,2.223064,1.294465,0.340456,0.311252,0.187932,0.066842,212.650705,41.324844,29.434077,13.598525,3.031688,53.568514,9.994326,6.715431,3.472302,0.770054,166.767763,30.575371,21.454540,9.799269,2.594131,41.747283,8.730069,6.414401,3.786957,1.047552,4,3,1,4,4,4,4,4,4,1,4,4,4,4
